"id","q_id","q_value","q_type","q_class"
1,"q000","Type of Visit","on","qc000"
2,"q001","Chief Complaint","on","qc001"
84,"q001a002q001","Initial vs Reval","off","qc008"
117,"q001a002q001a001q001","Onset","off","qc009"
118,"q001a002q001a001q001a002q001","Onset details","off","qc010"
120,"q001a002q001a002q001","Course since last evaluation","off","qc012"
122,"q001a002q001a001q002a001q001","Test timing","off","qc014"
152,"q001a002q001a001q002","Test history","off","qc013"
153,"q001a002q001a001q002a002q001","Test timing","off","qc014"
154,"q001a002q001a001q003","Associated Symptoms","on","qc015"
155,"q001a002q001a001q003a009q001","Measured Temperature","off","qc016"
158,"q001a002q001a001q003a004q001","Sputum","off","qc017"
159,"q001a002q001a001q003a004q001a001q001","Sputum color","off","qc018"
165,"q001a002q001a001q004","Course since last evaluation","off","qc012"
169,"q001a002q001a001q001a004q001","Onset details","off","qc011"
174,"q001a003q004","Initial vs Reval","off","qc008"
175,"q001a003q004a001q001","Onset","off","qc009"
176,"q001a003q004a001q001a002q001","Onset details","off","qc010"
177,"q001a003q004a001q001a004q001","Onset details","off","qc011"
178,"q001a003q004a001q002","Course since onset","off","qc020"
179,"q001a003q004a001q003","Associated symptoms","on","qc021"
180,"q001a003q004a001q003a010q001","Measured Temperature","off","qc016"
181,"q001a003q004a002q001","Course since last evaluation","off","qc012"
183,"q001a004q001a003q001","Severity laterality","off","qc023"
185,"q001a004q002a002q001","Onset details","off","qc010"
186,"q001a004q002a004q001","Onset details","off","qc011"
187,"q001a004q003","Initial vs Reval","off","qc008"
188,"q001a004q003a001q001","Laterality","off","qc022"
189,"q001a004q003a001q001a003q001","Severity laterality","off","qc023"
190,"q001a004q003a001q002","Onset","off","qc009"
191,"q001a004q003a001q002a002q001","Onset details","off","qc010"
192,"q001a004q003a001q002a004q001","Onset details","off","qc011"
193,"q001a004q003a002q001","Course since last evaluation","off","qc012"
194,"q001a004q003a001q003","Associated symptoms","off","qc024"
195,"q001a004q003a001q003a001q001","Measured Temperature","off","qc016"
196,"q001a004q003a001q003a004q001","Laterality","off","qc022"
197,"q001a004q003a001q003a004q001a003q001","Severity laterality","off","qc023"
198,"q001a004q003a001q003a005q001","Laterality","off","qc022"
199,"q001a004q003a001q003a005q001a003q001","Severity laterality","off","qc023"
200,"q001a004q003a001q003a006q001","Elbow or hand","off","qc025"
201,"q001a005q001","Initial vs Reval","off","qc008"
202,"q001a005q001a001q001","Onset","off","qc009"
203,"q001a005q001a001q001a002q001","Onset details","off","qc010"
204,"q001a005q001a001q001a004q001","Onset details","off","qc011"
205,"q001a005q001a001q002","constant vs intermittent","off","qc026"
206,"q001a005q001a001q002a002q001","frequency","off","qc027"
207,"q001a005q001a001q002a002q001a004q001","frequcny detail","off","qc028"
208,"q001a005q001a001q002a002q002","Duration","off","qc029"
209,"q001a005q001a001q003","location","on","qc030"
210,"q001a005q001a001q004","radiating pain","on","qc031"
211,"q001a005q001a001q005","severity","off","qc032"
212,"q001a005q001a001q006","character","off","qc033"
213,"q001a005q001a001q007","associated symptom","on","qc034"
214,"q001a005q001a002q001","Course since last evaluation","off","qc012"
215,"q001a006q001","Initial vs Reval","off","qc008"
216,"q001a006q001a002q001","Course since last evaluation","off","qc012"
217,"q001a006q001a001q001","Onset","off","qc009"
218,"q001a006q001a001q001a002q001","Onset details","off","qc010"
219,"q001a006q001a001q001a004q001","Onset details","off","qc011"
220,"q001a006q001a001q002","Course since onset","off","qc020"
221,"q001a006q001a001q003","Location","on","qc035"
223,"q001a006q001a001q004","reducible","off","qc036"
224,"q001a006q001a001q005","pain","off","qc037"
225,"q001a006q001a001q005a001q001","severity","off","qc032"
226,"q001a007q001","Initial vs Reval","off","qc008"
227,"q001a007q001a001q001","Onset","off","qc009"
228,"q001a007q001a001q001a002q001","Onset details","off","qc010"
229,"q001a007q001a001q001a004q001","Onset details","off","qc011"
230,"q001a007q001a001q002","location","on","qc038"
231,"q001a007q001a001q003","Course since onset","off","qc020"
232,"q001a008q001","Initial vs Reval","off","qc008"
233,"q001a007q001a002q001","Course since last evaluation","off","qc012"
